goodGeneSymbol,wrongGeneSymbol
SELENOS,VIMP
WARS1,WARS
TCEAL9,WBP5
RCC1L,WBSCR16
GALNT17,WBSCR17
METTL27,WBSCR27
DYNC2I1,WDR60
DNAI3,WDR63
CFAP251,WDR66
DNAI4,WDR78
DNAAF10,WDR92
NTAQ1,WDYHV1
PYM1,WIBG
CCN4,WISP1
CCN5,WISP2
CCN6,WISP3
GET1,WRB
ATP23,XRCC6BP1
YAE1,YAE1D1
MAP3K20,ZAK
ZBED10P,ZBED6CL
SCAND3,ZBED9
TUT7,ZCCHC6
TMEM35B,ZMYM6NB
CBLL2,ZNF645
ZNF705EP,ZNF705E
ZNF285CP,ZNF806
ZNF812P,ZNF812
